2020-11-24 09:09:33,472 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2020-11-24 09:10:36,536 [Worker-3: Importing Maven projects] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.demo:mvc1:0.0.1-SNAPSHOT @ T:\mvc1\mvc1\pom.xml.
2020-11-24 09:10:36,741 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for commons-dbcp:commons-dbcp:jar:1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-24 09:10:37,852 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat9-maven-plugin:jar:2.2 is missing, no dependency information available
2020-11-24 09:10:37,882 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat9-maven-plugin:2.2: Plugin org.apache.tomcat.maven:tomcat9-maven-plugin:2.2 or one of its dependencies could not be resolved: Failure to find org.apache.tomcat.maven:tomcat9-maven-plugin:jar:2.2 in https://repo.maven.apache.org/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2020-11-24 09:10:37,982 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat9-maven-plugin:jar:2.2 is missing, no dependency information available
2020-11-24 09:10:37,987 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat9-maven-plugin:2.2: Plugin org.apache.tomcat.maven:tomcat9-maven-plugin:2.2 or one of its dependencies could not be resolved: Failure to find org.apache.tomcat.maven:tomcat9-maven-plugin:jar:2.2 in https://repo.maven.apache.org/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2020-11-24 09:10:38,120 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for commons-dbcp:commons-dbcp:jar:1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-24 09:10:41,749 [Worker-3: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mvc1/src/main/java
2020-11-24 09:10:41,750 [Worker-3: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mvc1/src/main/resources
2020-11-24 09:10:41,752 [Worker-3: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mvc1/src/test/java
2020-11-24 09:10:41,753 [Worker-3: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mvc1/src/test/resources
2020-11-24 09:10:42,876 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat9-maven-plugin:jar:2.2 is missing, no dependency information available
2020-11-24 09:10:42,879 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat9-maven-plugin:2.2: Plugin org.apache.tomcat.maven:tomcat9-maven-plugin:2.2 or one of its dependencies could not be resolved: Failure to find org.apache.tomcat.maven:tomcat9-maven-plugin:jar:2.2 in https://repo.maven.apache.org/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2020-11-24 09:10:42,883 [Worker-3: Importing Maven projects] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat9-maven-plugin:jar:2.2 is missing, no dependency information available
